order_id,order_date,customer_id,gender,age,city,product_category,product_name,quantity,unit_price,discount_percent,payment_mode,rating
2001,1/2/2024,C101,Male,26,Mumbai,Electronics,Wireless Earbuds,1,2999,10,UPI,4.5
2002,1/3/2024,C102,Female,34,Delhi,Clothing,Winter Jacket,2,3499,20,Credit Card,4.2
2003,1/4/2024,C103,Male,45,Bangalore,Home Appliances,Microwave Oven,1,12499,15,Debit Card,4.6
2004,1/5/2024,C104,Female,23,Pune,Beauty,Face Cleanser,3,499,5,UPI,4.1
2005,1/6/2024,C105,Male,39,Hyderabad,Electronics,Bluetooth Speaker,1,5999,25,Credit Card,4.7
2006,1/7/2024,C106,Female,31,Chennai,Books,Self Help Book,2,699,0,Cash,3.9
2007,1/8/2024,C107,Male,52,Kolkata,Furniture,Office Chair,1,8999,30,Credit Card,4.3
2008,1/9/2024,C108,Female,28,Mumbai,Clothing,Running Shoes,1,4599,10,Debit Card,4.4
2009,1/10/2024,C109,Male,36,Delhi,Electronics,Smart Watch,1,7999,18,UPI,4.6
2010,1/11/2024,C110,Female,48,Jaipur,Beauty,Anti-Aging Serum,1,3299,22,Credit Card,4.5
